RefereeID,Name,Date of birth,Nationality,Number of Matches,red,yellow
1,Anthony Taylor,20/10/1978,England,32,1,101
2,Michael Oliver,20/02/1985,England,30,5,83
3,Martin Atkinson,31/03/1971,England,29,1,91
4,Mike Dean,2/6/1968,England,29,5,128
5,Kevin Friend,8/7/1971,England,27,3,93
6,Andre Marriner,1/1/1971,England,27,0,73
7,Jonathan Moss,18/10/1970,England,27,1,93
8,Craig Pawson,2/3/1979,England,26,6,92
9,Chris Kavanagh,4/9/1985,England,24,1,74
10,Paul Tierney,25/12/1980,England,24,1,82
11,Stuart Attwell,6/10/1982,England,20,1,63
12,Lee Mason,29/10/1971,England,18,1,60
13,Lee Probert,13/08/1972,England,18,2,46
14,Graham Scott,10/10/1968,England,18,1,41
15,David Coote,Unknown,England,11,0,35
16,Roger East,12/5/1965,England,10,0,44
17,Simon Hooper,15/07/1982,England,8,0,20
18,Andy Madley,5/9/1983,England,2,0,2
